AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
ChristmasTreeOrnament005,2K-JPG,zip,3970716,https://cc0textures.com/get?file=ChristmasTreeOrnament005_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/ChristmasTreeOrnament005_8tr6kspc/ChristmasTreeOrnament005_2K-JPG.zip
ChristmasTreeOrnament005,4K-JPG,zip,14199487,https://cc0textures.com/get?file=ChristmasTreeOrnament005_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/ChristmasTreeOrnament005_8tr6kspc/ChristmasTreeOrnament005_4K-JPG.zip
ChristmasTreeOrnament005,8K-JPG,zip,57491806,https://cc0textures.com/get?file=ChristmasTreeOrnament005_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/ChristmasTreeOrnament005_8tr6kspc/ChristmasTreeOrnament005_8K-JPG.zip
ChristmasTreeOrnamentSubstance002,,sbsar,81645,https://cc0textures.com/get?file=ChristmasTreeOrnamentSubstance002.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/ChristmasTreeOrnamentSubstance002_yf6pn9ql/ChristmasTreeOrnamentSubstance002.sbsar
ChristmasTreeOrnament004,2K-JPG,zip,4621071,https://cc0textures.com/get?file=ChristmasTreeOrnament004_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/ChristmasTreeOrnament004_0zb63fij/ChristmasTreeOrnament004_2K-JPG.zip
ChristmasTreeOrnament004,4K-JPG,zip,18120369,https://cc0textures.com/get?file=ChristmasTreeOrnament004_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/ChristmasTreeOrnament004_0zb63fij/ChristmasTreeOrnament004_4K-JPG.zip
ChristmasTreeOrnament004,8K-JPG,zip,77800038,https://cc0textures.com/get?file=ChristmasTreeOrnament004_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/ChristmasTreeOrnament004_0zb63fij/ChristmasTreeOrnament004_8K-JPG.zip
SheetMetal004,2K-JPG,zip,6770855,https://cc0textures.com/get?file=SheetMetal004_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal004_bj5027on/SheetMetal004_2K-JPG.zip
SheetMetal004,4K-JPG,zip,19309312,https://cc0textures.com/get?file=SheetMetal004_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal004_bj5027on/SheetMetal004_4K-JPG.zip
SheetMetal004,8K-JPG,zip,52978533,https://cc0textures.com/get?file=SheetMetal004_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal004_bj5027on/SheetMetal004_8K-JPG.zip
SheetMetal003,2K-JPG,zip,9611977,https://cc0textures.com/get?file=SheetMetal003_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal003_r3xh2scv/SheetMetal003_2K-JPG.zip
SheetMetal003,4K-JPG,zip,29324389,https://cc0textures.com/get?file=SheetMetal003_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal003_r3xh2scv/SheetMetal003_4K-JPG.zip
SheetMetal003,8K-JPG,zip,80779510,https://cc0textures.com/get?file=SheetMetal003_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal003_r3xh2scv/SheetMetal003_8K-JPG.zip
SheetMetal002,2K-JPG,zip,7456308,https://cc0textures.com/get?file=SheetMetal002_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal002_pm6j4cbd/SheetMetal002_2K-JPG.zip
SheetMetal002,4K-JPG,zip,23446124,https://cc0textures.com/get?file=SheetMetal002_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal002_pm6j4cbd/SheetMetal002_4K-JPG.zip
SheetMetal002,8K-JPG,zip,78791701,https://cc0textures.com/get?file=SheetMetal002_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal002_pm6j4cbd/SheetMetal002_8K-JPG.zip
SheetMetalSubstance001,,sbsar,11897,https://cc0textures.com/get?file=SheetMetalSubstance001.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetalSubstance001_915ds0m4/SheetMetalSubstance001.sbsar
SheetMetal001,2K-JPG,zip,8948894,https://cc0textures.com/get?file=SheetMetal001_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal001_80kdbc36/SheetMetal001_2K-JPG.zip
SheetMetal001,4K-JPG,zip,25595389,https://cc0textures.com/get?file=SheetMetal001_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal001_80kdbc36/SheetMetal001_4K-JPG.zip
SheetMetal001,8K-JPG,zip,71844482,https://cc0textures.com/get?file=SheetMetal001_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/SheetMetal001_80kdbc36/SheetMetal001_8K-JPG.zip
PavingStones052,2K-JPG,zip,17767704,https://cc0textures.com/get?file=PavingStones052_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones052_3a71noh9/PavingStones052_2K-JPG.zip
PavingStones052,4K-JPG,zip,68983726,https://cc0textures.com/get?file=PavingStones052_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones052_3a71noh9/PavingStones052_4K-JPG.zip
PavingStones052,8K-JPG,zip,251083694,https://cc0textures.com/get?file=PavingStones052_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones052_3a71noh9/PavingStones052_8K-JPG.zip
PavingStones051,2K-JPG,zip,19377690,https://cc0textures.com/get?file=PavingStones051_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones051_wq2dvole/PavingStones051_2K-JPG.zip
PavingStones051,4K-JPG,zip,68142680,https://cc0textures.com/get?file=PavingStones051_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones051_wq2dvole/PavingStones051_4K-JPG.zip
PavingStones051,8K-JPG,zip,254766710,https://cc0textures.com/get?file=PavingStones051_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones051_wq2dvole/PavingStones051_8K-JPG.zip
PavingStones050,2K-JPG,zip,21679216,https://cc0textures.com/get?file=PavingStones050_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones050_s48t2jci/PavingStones050_2K-JPG.zip
PavingStones050,4K-JPG,zip,72183340,https://cc0textures.com/get?file=PavingStones050_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones050_s48t2jci/PavingStones050_4K-JPG.zip
PavingStones050,8K-JPG,zip,272624041,https://cc0textures.com/get?file=PavingStones050_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones050_s48t2jci/PavingStones050_8K-JPG.zip
PavingStones049,2K-JPG,zip,22185426,https://cc0textures.com/get?file=PavingStones049_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones049_p2jx6slu/PavingStones049_2K-JPG.zip
PavingStones049,4K-JPG,zip,77935604,https://cc0textures.com/get?file=PavingStones049_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones049_p2jx6slu/PavingStones049_4K-JPG.zip
PavingStones049,8K-JPG,zip,277220662,https://cc0textures.com/get?file=PavingStones049_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones049_p2jx6slu/PavingStones049_8K-JPG.zip
PavingStones048,2K-JPG,zip,21845822,https://cc0textures.com/get?file=PavingStones048_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones048_7qm2coxf/PavingStones048_2K-JPG.zip
PavingStones048,4K-JPG,zip,76657049,https://cc0textures.com/get?file=PavingStones048_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones048_7qm2coxf/PavingStones048_4K-JPG.zip
PavingStones048,8K-JPG,zip,271469389,https://cc0textures.com/get?file=PavingStones048_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones048_7qm2coxf/PavingStones048_8K-JPG.zip
PavingStonesSubstance001,,sbsar,14948850,https://cc0textures.com/get?file=PavingStonesSubstance001.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStonesSubstance001_39v4bwap/PavingStonesSubstance001.sbsar
PavingStones047,2K-JPG,zip,23723059,https://cc0textures.com/get?file=PavingStones047_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones047_by76f5oh/PavingStones047_2K-JPG.zip
PavingStones047,4K-JPG,zip,84907422,https://cc0textures.com/get?file=PavingStones047_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones047_by76f5oh/PavingStones047_4K-JPG.zip
PavingStones047,8K-JPG,zip,300923188,https://cc0textures.com/get?file=PavingStones047_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones047_by76f5oh/PavingStones047_8K-JPG.zip
Lava005,2K-JPG,zip,23956354,https://cc0textures.com/get?file=Lava005_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Lava005_zw5a2f96/Lava005_2K-JPG.zip
